loading projection weights from data\word2vec-google-news-300.bin
KeyedVectors lifecycle event {'msg': 'loaded (3000000, 300) matrix of type float32 from data\\word2vec-google-news-300.bin', 'binary': True, 'encoding': 'utf8', 'datetime': '2025-03-28T16:02:15.680711', 'gensim': '4.3.3', 'python': '3.12.7 | packaged by Anaconda, Inc. | (main, Oct  4 2024, 13:17:27) [MSC v.1929 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.19045-SP0', 'event': 'load_word2vec_format'}
loss: 3.018606  [   64/984410]
loss: 1.839006  [ 6464/984410]
loss: 1.215902  [12864/984410]
loss: 1.262496  [19264/984410]
loss: 1.133054  [25664/984410]
loss: 1.179577  [32064/984410]
loss: 1.108701  [38464/984410]
loss: 1.470014  [44864/984410]
loss: 1.234395  [51264/984410]
loss: 0.870168  [57664/984410]
loss: 1.411572  [64064/984410]
loss: 1.117830  [70464/984410]
loss: 0.898016  [76864/984410]
loss: 0.878159  [83264/984410]
loss: 0.947360  [89664/984410]
loss: 1.004353  [96064/984410]
loss: 0.897698  [102464/984410]
loss: 0.962750  [108864/984410]
loss: 0.935666  [115264/984410]
loss: 0.854902  [121664/984410]
loss: 0.736692  [128064/984410]
loss: 1.077961  [134464/984410]
loss: 1.402152  [140864/984410]
loss: 0.978874  [147264/984410]
loss: 0.700133  [153664/984410]
loss: 0.839839  [160064/984410]
loss: 0.907085  [166464/984410]
loss: 0.986872  [172864/984410]
loss: 0.756744  [179264/984410]
loss: 0.820954  [185664/984410]
loss: 0.864705  [192064/984410]
loss: 0.655509  [198464/984410]
loss: 0.710054  [204864/984410]
loss: 0.992981  [211264/984410]
loss: 0.914843  [217664/984410]
loss: 1.001905  [224064/984410]
loss: 1.065722  [230464/984410]
loss: 0.948128  [236864/984410]
loss: 1.024799  [243264/984410]
loss: 0.747063  [249664/984410]
loss: 0.743275  [256064/984410]
loss: 0.926326  [262464/984410]
loss: 0.965746  [268864/984410]
loss: 0.642529  [275264/984410]
loss: 0.928673  [281664/984410]
loss: 0.618331  [288064/984410]
loss: 0.936574  [294464/984410]
loss: 0.966405  [300864/984410]
loss: 1.160826  [307264/984410]
loss: 0.872002  [313664/984410]
loss: 0.854184  [320064/984410]
loss: 0.793537  [326464/984410]
loss: 0.949737  [332864/984410]
loss: 0.710210  [339264/984410]
loss: 0.976138  [345664/984410]
