loading projection weights from data\word2vec-google-news-300.bin
KeyedVectors lifecycle event {'msg': 'loaded (3000000, 300) matrix of type float32 from data\\word2vec-google-news-300.bin', 'binary': True, 'encoding': 'utf8', 'datetime': '2025-04-01T19:30:16.749819', 'gensim': '4.3.3', 'python': '3.12.7 | packaged by Anaconda, Inc. | (main, Oct  4 2024, 13:17:27) [MSC v.1929 64 bit (AMD64)]', 'platform': 'Windows-10-10.0.19045-SP0', 'event': 'load_word2vec_format'}
loss: 2.936480  [   64/984410]
loss: 2.141112  [ 6464/984410]
loss: 1.567867  [12864/984410]
loss: 1.580952  [19264/984410]
loss: 1.760774  [25664/984410]
loss: 1.429106  [32064/984410]
loss: 1.671929  [38464/984410]
loss: 1.469015  [44864/984410]
loss: 1.218955  [51264/984410]
loss: 0.970716  [57664/984410]
loss: 1.225939  [64064/984410]
loss: 1.140368  [70464/984410]
loss: 1.217935  [76864/984410]
loss: 1.015177  [83264/984410]
loss: 1.348445  [89664/984410]
loss: 1.067506  [96064/984410]
loss: 1.046417  [102464/984410]
loss: 0.916039  [108864/984410]
loss: 0.881972  [115264/984410]
loss: 0.988493  [121664/984410]
loss: 0.930632  [128064/984410]
loss: 1.096694  [134464/984410]
loss: 0.838640  [140864/984410]
loss: 1.172113  [147264/984410]
loss: 0.788222  [153664/984410]
loss: 1.235726  [160064/984410]
loss: 1.066371  [166464/984410]
loss: 0.919590  [172864/984410]
loss: 1.103033  [179264/984410]
loss: 1.311673  [185664/984410]
loss: 0.992871  [192064/984410]
loss: 0.931987  [198464/984410]
loss: 1.119399  [204864/984410]
loss: 0.976517  [211264/984410]
loss: 1.108481  [217664/984410]
loss: 1.309815  [224064/984410]
loss: 0.886052  [230464/984410]
loss: 0.977219  [236864/984410]
loss: 1.420215  [243264/984410]
loss: 1.203662  [249664/984410]
loss: 0.973599  [256064/984410]
loss: 0.927251  [262464/984410]
loss: 1.074726  [268864/984410]
loss: 1.268373  [275264/984410]
loss: 0.960905  [281664/984410]
loss: 0.944326  [288064/984410]
loss: 0.995979  [294464/984410]
loss: 0.930372  [300864/984410]
loss: 1.005682  [307264/984410]
loss: 1.052352  [313664/984410]
loss: 1.048325  [320064/984410]
loss: 0.674251  [326464/984410]
loss: 0.834262  [332864/984410]
loss: 0.860444  [339264/984410]
loss: 1.165557  [345664/984410]
loss: 0.892161  [352064/984410]
loss: 1.081631  [358464/984410]
loss: 1.008739  [364864/984410]
loss: 0.899752  [371264/984410]
loss: 0.877713  [377664/984410]
loss: 0.737504  [384064/984410]
loss: 0.940337  [390464/984410]
loss: 0.921478  [396864/984410]
loss: 0.661253  [403264/984410]
loss: 1.158144  [409664/984410]
loss: 0.640851  [416064/984410]
loss: 0.820276  [422464/984410]
loss: 0.895943  [428864/984410]
loss: 0.841362  [435264/984410]
loss: 1.040810  [441664/984410]
loss: 0.784872  [448064/984410]
loss: 1.008950  [454464/984410]
loss: 0.511818  [460864/984410]
loss: 0.972557  [467264/984410]
loss: 1.182804  [473664/984410]
loss: 0.920866  [480064/984410]
loss: 0.966203  [486464/984410]
loss: 0.825281  [492864/984410]
loss: 0.801070  [499264/984410]
loss: 0.733586  [505664/984410]
loss: 0.890733  [512064/984410]
